a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
1.81621,1.60261,0.42139,0.38613,35.77951,0.98822,-1.43008,34.17690,0.56683,2.04513,1168.06080,0.32130
1.98576,1.11893,0.24881,0.52066,2.66259,0.99745,-1.46510,1.54366,0.74864,2.14653,2.38289,0.56047
1.14349,1.62631,0.40182,0.31061,44.47877,0.65591,-0.83288,42.85246,0.25409,0.69369,1836.33321,0.06456
0.98007,1.84328,0.25568,0.18128,76.21271,0.46052,-0.79880,74.36943,0.20484,0.63808,5530.81169,0.04196
1.36016,1.44776,0.27938,0.15604,14.08132,0.73352,-1.20412,12.63356,0.45415,1.44990,159.60688,0.20625
1.68737,1.68443,0.13648,0.34346,40.22443,0.58567,-1.34391,38.54000,0.44919,1.80609,1485.33164,0.20177
1.83156,1.02637,0.14683,0.86550,15.96249,0.87407,-0.96606,14.93612,0.72725,0.93327,223.08753,0.52889
0.62616,1.55145,0.12911,0.22847,1.77466,0.19631,-0.39769,0.22321,0.06721,0.15815,0.04982,0.00452
1.97996,1.06141,0.24826,0.76156,1.82032,0.73533,-1.21840,0.75892,0.48707,1.48449,0.57595,0.23724
1.66572,1.33761,0.26969,0.29412,4.71335,0.75022,-1.37160,3.37575,0.48053,1.88129,11.39566,0.23091
1.20299,0.58445,0.14753,0.34064,4.06971,0.58317,-0.86235,3.48525,0.43564,0.74366,12.14699,0.18978
1.94326,1.06231,0.21428,0.55050,2.51825,0.89574,-1.39276,1.45594,0.68146,1.93978,2.11976,0.46438
1.33078,1.95395,0.30924,0.25594,8.58500,0.56116,-1.07484,6.63104,0.25192,1.15529,43.97072,0.06346
1.37647,1.85174,0.11818,0.24095,57.33779,0.59702,-1.13552,55.48605,0.47884,1.28941,3078.70159,0.22929
0.78218,1.19555,0.24134,0.18663,4.53995,0.30635,-0.59555,3.34440,0.06501,0.35468,11.18500,0.00423
1.52710,0.74393,0.46437,1.84469,0.21980,-0.02349,0.31759,-0.52412,-0.48786,0.10086,0.27471,0.23800
1.79910,0.56783,0.11055,0.45071,3.07578,0.86795,-1.34838,2.50795,0.75741,1.81814,6.28983,0.57366
1.95487,1.76318,0.43533,0.39147,35.29121,0.76775,-1.56340,33.52803,0.33242,2.44422,1124.12857,0.11050
1.79708,1.71935,0.49989,0.54682,1.54949,1.06965,-1.25026,-0.16986,0.56977,1.56316,0.02885,0.32463
1.77447,0.87102,0.28022,0.74105,18.64318,0.94072,-1.03342,17.77216,0.66051,1.06796,315.84969,0.43627
1.50755,1.42719,0.24327,0.61982,22.28961,0.67183,-0.88773,20.86242,0.42857,0.78807,435.24038,0.18367
1.28025,1.77827,0.32076,0.21866,10.04874,0.58761,-1.06159,8.27047,0.26685,1.12697,68.40070,0.07121
0.54317,1.63271,0.34812,0.15132,2.67944,0.40410,-0.39185,1.04673,0.05597,0.15355,1.09565,0.00313
1.02588,1.38488,0.25690,0.21393,6.48023,0.45803,-0.81196,5.09535,0.20113,0.65927,25.96262,0.04045
1.67548,1.09481,0.34883,0.76899,1.10184,0.76168,-0.90649,0.00702,0.41284,0.82173,0.00005,0.17044
1.18870,1.97005,0.29705,0.27627,50.00785,0.46592,-0.91244,48.03781,0.16887,0.83254,2307.63073,0.02852
0.69332,0.69207,0.16076,0.10898,12.72003,0.24271,-0.58433,12.02796,0.08195,0.34145,144.67176,0.00672
1.84518,1.21094,0.36702,0.47763,28.92538,0.89532,-1.36756,27.71444,0.52829,1.87021,768.09000,0.27909
0.63305,0.68095,0.28431,0.05947,14.24813,0.38360,-0.57359,13.56718,0.09929,0.32900,184.06826,0.00986
0.55897,1.69912,0.35116,0.04390,50.04657,0.42146,-0.51506,48.34746,0.07030,0.26529,2337.47647,0.00494
1.62239,0.77678,0.18374,0.43452,3.19040,1.07398,-1.18787,2.41362,0.89024,1.41104,5.82557,0.79252
1.19380,1.62121,0.11467,0.28884,47.83133,0.42560,-0.90496,46.21012,0.31093,0.81896,2135.37545,0.09668
1.29817,0.66076,0.27896,0.37585,2.25437,0.56074,-0.92232,1.59361,0.28177,0.85068,2.53960,0.07939
0.53011,0.98312,0.18458,0.10185,8.31876,0.28063,-0.42825,7.33564,0.09605,0.18340,53.81159,0.00923
1.24766,0.63038,0.31484,0.62967,1.34561,0.54984,-0.61799,0.71523,0.23500,0.38191,0.51155,0.05522
0.92566,1.04462,0.35837,0.27208,3.11409,0.46909,-0.65358,2.06947,0.11072,0.42717,4.28271,0.01226
0.72929,0.86894,0.16427,0.09193,15.08062,0.26378,-0.63736,14.21168,0.09951,0.40623,201.97191,0.00990
0.62035,1.28677,0.26416,0.17152,-2.36393,0.34273,-0.44883,-3.65070,0.07857,0.20145,13.32759,0.00617
1.79826,1.72561,0.20316,0.45133,30.61040,0.72877,-1.34693,28.88479,0.52561,1.81421,834.33092,0.27627
1.35742,0.91997,0.40780,0.15286,14.37385,0.73383,-1.20456,13.45388,0.32603,1.45096,181.00694,0.10629
0.86361,0.67226,0.34425,0.23409,3.61948,0.45965,-0.62952,2.94723,0.11540,0.39630,8.68614,0.01332
1.29888,0.57774,0.23464,0.28470,4.86938,0.72389,-1.01419,4.29164,0.48925,1.02858,18.41821,0.23936
1.52225,1.64034,0.33826,0.17594,12.48843,0.56217,-1.34631,10.84809,0.22391,1.81256,117.68106,0.05014
1.74593,1.94754,0.14972,0.22298,9.85387,0.56797,-1.52295,7.90633,0.41825,2.31937,62.51005,0.17493
1.76274,0.70966,0.41811,0.40148,5.47280,1.02271,-1.36126,4.76315,0.60460,1.85304,22.68756,0.36554
1.49780,1.28460,0.24353,0.45007,1.88259,0.75734,-1.04773,0.59799,0.51381,1.09773,0.35760,0.26400
1.06542,1.19402,0.22055,0.29857,2.83788,0.35064,-0.76685,1.64386,0.13009,0.58806,2.70227,0.01692
1.07584,1.31533,0.46259,0.25793,5.37461,0.60521,-0.81790,4.05928,0.14262,0.66897,16.47774,0.02034
1.69104,1.43011,0.31338,0.41230,3.36234,0.71411,-1.27874,1.93223,0.40073,1.63517,3.73353,0.16058
0.87273,1.61592,0.11341,0.14232,9.74042,0.29277,-0.73041,8.12450,0.17935,0.53350,66.00748,0.03217
1.73189,0.66595,0.43858,0.38277,5.74037,1.30837,-1.34912,5.07442,0.86979,1.82013,25.74973,0.75654
