a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,0.89757,0.53142,0.13287,0.43648,1.04408,0.28444,-0.46108,0.51266,0.15157,0.21260,0.26283,0.02297
4000.00000,1.46586,1.29545,0.11678,0.28484,6.85576,0.52701,-1.18102,5.56031,0.41023,1.39481,30.91701,0.16829
4000.00000,1.71765,1.48472,0.15124,0.28380,9.16879,0.62912,-1.43385,7.68408,0.47788,2.05593,59.04501,0.22837
4000.00000,1.15911,1.41941,0.47723,0.20509,7.93279,0.74549,-0.95402,6.51338,0.26826,0.91015,42.42407,0.07196
4000.00000,0.92886,1.72392,0.44455,0.13279,12.32086,0.62260,-0.79607,10.59694,0.17805,0.63373,112.29516,0.03170
4000.00000,1.66467,1.48424,0.17097,0.27952,8.91117,0.63054,-1.38515,7.42693,0.45956,1.91864,55.15931,0.21120
4000.00000,1.72668,0.82027,0.30234,0.53028,2.64387,0.86797,-1.19640,1.82360,0.56563,1.43137,3.32553,0.31994
4000.00000,1.53333,1.80998,0.35452,0.21143,13.24954,0.72024,-1.32190,11.43955,0.36572,1.74741,130.86336,0.13375
4000.00000,1.58969,1.98771,0.13967,0.19675,16.18551,0.50248,-1.39294,14.19779,0.36281,1.94028,201.57727,0.13163
4000.00000,1.42398,0.78204,0.24215,0.43892,2.61680,0.65054,-0.98506,1.83476,0.40839,0.97034,3.36636,0.16678
4000.00000,0.95841,1.81498,0.49853,0.13270,13.07115,0.68147,-0.82570,11.25617,0.18294,0.68178,126.70147,0.03347
4000.00000,1.08729,1.11893,0.37825,0.23445,5.39854,0.63375,-0.85284,4.27961,0.25551,0.72734,18.31508,0.06528
4000.00000,1.38230,1.22146,0.35693,0.28479,6.08384,0.73882,-1.09751,4.86238,0.38189,1.20453,23.64270,0.14584
4000.00000,1.51470,1.70748,0.20793,0.22064,11.60296,0.58619,-1.29406,9.89547,0.37826,1.67459,97.92042,0.14308
4000.00000,1.68292,1.27590,0.27608,0.32855,6.57100,0.77251,-1.35437,5.29510,0.49643,1.83432,28.03808,0.24645
4000.00000,1.39734,1.60349,0.49934,0.21872,9.79718,0.85028,-1.17862,8.19368,0.35094,1.38914,67.13641,0.12316
4000.00000,0.67750,1.11486,0.43592,0.15175,5.00502,0.53826,-0.52575,3.89016,0.10234,0.27642,15.13334,0.01047
4000.00000,1.00177,0.53930,0.10968,0.45875,1.19528,0.29733,-0.54302,0.65599,0.18766,0.29487,0.43032,0.03521
4000.00000,0.88895,1.14449,0.44909,0.19777,5.12588,0.62174,-0.69118,3.98139,0.17265,0.47773,15.85148,0.02981
4000.00000,0.70022,0.62090,0.39118,0.29536,1.41513,0.49176,-0.40486,0.79423,0.10058,0.16391,0.63080,0.01012
4000.00000,1.41534,0.70303,0.40055,0.49633,2.01419,0.80108,-0.91901,1.31116,0.40053,0.84458,1.71915,0.16042
4000.00000,1.85938,0.87432,0.20878,0.52212,3.21177,0.86212,-1.33726,2.33745,0.65334,1.78826,5.46368,0.42685
4000.00000,1.85966,0.70887,0.31297,0.66260,1.96344,0.97668,-1.19705,1.25457,0.66371,1.43294,1.57394,0.44052
4000.00000,1.90523,0.57839,0.26752,0.81211,1.39251,0.93220,-1.09313,0.81413,0.66468,1.19492,0.66280,0.44180
4000.00000,1.19590,1.95801,0.34341,0.15264,15.05799,0.58979,-1.04326,13.09998,0.24638,1.08839,171.60958,0.06070
4000.00000,1.77592,1.34183,0.30936,0.32830,7.51245,0.83894,-1.44762,6.17062,0.52959,2.09561,38.07651,0.28046
4000.00000,1.31531,0.62259,0.28332,0.56123,1.39657,0.61588,-0.75407,0.77399,0.33256,0.56863,0.59906,0.11060
4000.00000,1.47646,1.31815,0.12491,0.27939,6.98955,0.52665,-1.19707,5.67140,0.40174,1.43299,32.16483,0.16140
4000.00000,0.80205,0.88793,0.16588,0.21989,3.33948,0.30580,-0.58216,2.45155,0.13992,0.33891,6.01009,0.01958
4000.00000,1.81937,1.80587,0.19552,0.24980,13.30742,0.65387,-1.56957,11.50155,0.45835,2.46356,132.28570,0.21008
4000.00000,1.30805,1.24672,0.14219,0.26148,6.20106,0.48660,-1.04657,4.95434,0.34441,1.09531,24.54552,0.11862
4000.00000,0.80565,1.28499,0.21486,0.15406,6.91629,0.36085,-0.65159,5.63130,0.14600,0.42456,31.71151,0.02131
4000.00000,1.87264,1.29954,0.16318,0.36036,6.88277,0.74344,-1.51227,5.58322,0.58025,2.28696,31.17237,0.33669
4000.00000,0.71107,0.80302,0.17369,0.21608,2.71800,0.28426,-0.49498,1.91498,0.11057,0.24501,3.66715,0.01222
4000.00000,1.70541,1.25781,0.48685,0.34211,6.38208,1.00872,-1.36329,5.12427,0.52187,1.85856,26.25816,0.27235
4000.00000,1.82289,1.14123,0.16489,0.39623,5.38807,0.77067,-1.42666,4.24684,0.60578,2.03537,18.03561,0.36696
4000.00000,0.61911,1.59724,0.17496,0.09493,10.39751,0.26125,-0.52418,8.80027,0.08628,0.27477,77.44472,0.00744
4000.00000,1.18890,1.03670,0.29768,0.27918,4.54922,0.59274,-0.90972,3.51252,0.29506,0.82759,12.33778,0.08706
4000.00000,1.17553,1.62324,0.36046,0.18581,10.00785,0.62188,-0.98971,8.38462,0.26142,0.97953,70.30177,0.06834
4000.00000,1.45121,0.68940,0.37047,0.52149,1.95372,0.79191,-0.92972,1.26433,0.42144,0.86438,1.59852,0.17761
4000.00000,0.91891,1.46432,0.37766,0.15713,8.36521,0.55874,-0.76179,6.90088,0.18108,0.58032,47.62221,0.03279
4000.00000,1.80681,1.64910,0.41538,0.27517,11.23105,0.90057,-1.53163,9.58196,0.48519,2.34590,91.81386,0.23541
4000.00000,0.66648,1.17058,0.28414,0.14487,5.27446,0.38522,-0.52161,4.10388,0.10108,0.27208,16.84183,0.01022
4000.00000,1.13382,0.56304,0.39596,0.54561,1.08244,0.63280,-0.58821,0.51940,0.23683,0.34600,0.26977,0.05609
4000.00000,1.63094,1.70736,0.10720,0.23934,11.08824,0.52422,-1.39160,9.38088,0.41702,1.93656,88.00087,0.17390
4000.00000,1.80913,0.66887,0.38147,0.69532,1.66963,0.98632,-1.11381,1.00076,0.60485,1.24058,1.00151,0.36584
4000.00000,0.94586,0.94988,0.39728,0.23766,4.04213,0.59503,-0.70820,3.09225,0.19776,0.50155,9.56201,0.03911
4000.00000,1.83845,0.77800,0.13159,0.57729,2.54574,0.78671,-1.26117,1.76775,0.65512,1.59055,3.12493,0.42918
4000.00000,1.78354,1.28217,0.12546,0.35114,6.46079,0.67241,-1.43240,5.17862,0.54695,2.05177,26.81812,0.29915
4000.00000,1.81847,1.35766,0.30698,0.33483,7.26395,0.86261,-1.48364,5.90629,0.55563,2.20118,34.88431,0.30873
4000.00000,1.83878,1.16507,0.34284,0.40043,5.26617,0.92877,-1.43835,4.10110,0.58594,2.06886,16.81902,0.34332
4000.00000,0.65634,1.07677,0.29507,0.15247,4.66711,0.39487,-0.50387,3.59034,0.09981,0.25389,12.89055,0.00996
4000.00000,1.45116,0.60640,0.20176,0.58531,1.50083,0.61476,-0.86585,0.89443,0.41301,0.74969,0.80000,0.17058
4000.00000,1.41617,0.92102,0.18280,0.39385,3.17305,0.59500,-1.02232,2.25202,0.41221,1.04514,5.07160,0.16992
4000.00000,1.26900,0.94023,0.47270,0.34644,3.33909,0.80239,-0.92256,2.39886,0.32969,0.85112,5.75453,0.10869
4000.00000,1.26112,1.81133,0.29742,0.17017,13.48900,0.57137,-1.09095,11.67766,0.27395,1.19016,136.36785,0.07505
4000.00000,1.86142,1.57105,0.34316,0.29365,10.13609,0.86299,-1.56777,8.56504,0.51983,2.45789,73.35990,0.27022
4000.00000,0.67173,1.07576,0.28249,0.16064,4.33118,0.38654,-0.51109,3.25542,0.10404,0.26121,10.59776,0.01082
4000.00000,0.62027,1.03216,0.47669,0.15097,4.12941,0.56560,-0.46930,3.09725,0.08891,0.22024,9.59295,0.00791
4000.00000,1.45414,1.86993,0.34503,0.19174,14.68278,0.68019,-1.26240,12.81285,0.33516,1.59365,164.16908,0.11233
4000.00000,0.51756,1.13305,0.21802,0.11616,4.99981,0.27821,-0.40140,3.86676,0.06019,0.16112,14.95180,0.00362
4000.00000,1.47844,1.76841,0.37700,0.20632,12.70739,0.72699,-1.27212,10.93899,0.34999,1.61829,119.66146,0.12249
4000.00000,1.16963,1.69757,0.42897,0.17561,11.14589,0.67853,-0.99401,9.44832,0.24956,0.98807,89.27074,0.06228
4000.00000,1.55838,1.53261,0.24982,0.25235,9.54570,0.65688,-1.30603,8.01309,0.40706,1.70572,64.20966,0.16570
4000.00000,1.46873,1.45535,0.23624,0.24755,8.76493,0.62846,-1.22119,7.30958,0.39222,1.49129,53.42996,0.15384
4000.00000,1.04689,0.82684,0.49521,0.31072,2.80385,0.73042,-0.73617,1.97701,0.23521,0.54194,3.90858,0.05532
4000.00000,1.25818,1.94603,0.25368,0.16101,15.18954,0.51754,-1.09717,13.24351,0.26386,1.20378,175.39057,0.06962
4000.00000,1.63432,1.18778,0.21570,0.35018,5.36594,0.70640,-1.28414,4.17815,0.49070,1.64902,17.45696,0.24079
4000.00000,1.40441,1.74006,0.49361,0.19709,12.72863,0.81993,-1.20732,10.98857,0.32633,1.45763,120.74862,0.10649
4000.00000,1.31211,0.73122,0.32148,0.45426,2.11472,0.67259,-0.85785,1.38350,0.35110,0.73590,1.91407,0.12327
4000.00000,0.88900,0.79194,0.12306,0.28731,2.40208,0.29316,-0.60169,1.61014,0.17010,0.36203,2.59255,0.02893
4000.00000,1.37070,0.70880,0.27762,0.49992,1.88923,0.65696,-0.87078,1.18044,0.37935,0.75827,1.39344,0.14390
4000.00000,1.43099,0.80197,0.25806,0.43777,2.69611,0.66840,-0.99322,1.89414,0.41034,0.98648,3.58775,0.16838
4000.00000,1.86418,1.58321,0.31335,0.29618,9.68376,0.82777,-1.56800,8.10055,0.51441,2.45863,65.61889,0.26462
4000.00000,0.91365,1.81564,0.47762,0.12533,13.42581,0.64552,-0.78833,11.61017,0.16790,0.62146,134.79608,0.02819
4000.00000,1.38310,1.06299,0.21431,0.31097,4.85984,0.60248,-1.07213,3.79684,0.38817,1.14945,14.41601,0.15067
4000.00000,1.36592,1.79837,0.49230,0.19249,12.90342,0.80734,-1.17343,11.10505,0.31504,1.37693,123.32214,0.09925
4000.00000,0.80071,0.66390,0.44158,0.29554,1.85903,0.57662,-0.50517,1.19513,0.13504,0.25520,1.42834,0.01824
4000.00000,1.43989,1.88957,0.10765,0.19289,14.08378,0.43928,-1.24700,12.19421,0.33163,1.55501,148.69877,0.10998
4000.00000,0.94909,1.03807,0.42177,0.23310,4.17484,0.61634,-0.71599,3.13677,0.19456,0.51264,9.83934,0.03786
4000.00000,1.60680,1.75122,0.39619,0.23164,12.46777,0.79800,-1.37517,10.71655,0.40181,1.89109,114.84446,0.16145
4000.00000,1.76888,1.42041,0.13544,0.30797,7.91941,0.63820,-1.46091,6.49900,0.50276,2.13426,42.23704,0.25277
4000.00000,1.02323,0.66650,0.42329,0.42514,1.44574,0.63163,-0.59809,0.77924,0.20834,0.35771,0.60722,0.04340
4000.00000,0.61529,1.25094,0.41781,0.13182,5.35521,0.50368,-0.48347,4.10428,0.08588,0.23375,16.84508,0.00737
4000.00000,0.84858,0.92151,0.42139,0.24142,3.06524,0.57545,-0.60715,2.14373,0.15406,0.36864,4.59558,0.02373
4000.00000,1.96847,1.40524,0.24313,0.35185,8.25102,0.84158,-1.61662,6.84578,0.59846,2.61348,46.86465,0.35815
4000.00000,1.37880,1.43718,0.12871,0.24530,7.79472,0.48421,-1.13350,6.35755,0.35550,1.28481,40.41839,0.12638
4000.00000,1.32875,1.28025,0.15715,0.25614,6.79515,0.49460,-1.07261,5.51489,0.33744,1.15050,30.41404,0.11387
4000.00000,1.44434,0.58150,0.39946,0.64131,1.26224,0.79086,-0.80303,0.68074,0.39140,0.64485,0.46341,0.15319
4000.00000,1.56046,0.59403,0.43574,0.65459,1.44282,0.89833,-0.90587,0.84879,0.46259,0.82061,0.72044,0.21399
4000.00000,1.04035,0.90559,0.43708,0.28370,3.41253,0.67009,-0.75665,2.50694,0.23300,0.57252,6.28477,0.05429
4000.00000,1.06598,1.94612,0.13572,0.13623,14.87163,0.34898,-0.92975,12.92551,0.21326,0.86443,167.06878,0.04548
4000.00000,0.50654,0.75043,0.38522,0.16877,2.27927,0.44071,-0.33777,1.52884,0.05549,0.11409,2.33734,0.00308
4000.00000,1.67274,1.46622,0.11927,0.28381,8.81420,0.56958,-1.38893,7.34797,0.45031,1.92912,53.99271,0.20278
4000.00000,0.81332,1.05306,0.24793,0.18307,4.95742,0.39849,-0.63025,3.90436,0.15056,0.39722,15.24402,0.02267
4000.00000,0.81799,1.48603,0.28891,0.14282,8.29335,0.43549,-0.67517,6.80732,0.14658,0.45585,46.33955,0.02149
4000.00000,0.70490,1.47746,0.39544,0.11679,9.05615,0.50865,-0.58811,7.57870,0.11321,0.34587,57.43662,0.01282
4000.00000,1.83532,0.93111,0.24711,0.49301,3.47103,0.86650,-1.34231,2.53991,0.61939,1.80180,6.45116,0.38364
4000.00000,0.52204,1.06864,0.23494,0.11722,4.81614,0.29782,-0.40482,3.74750,0.06289,0.16388,14.04377,0.00395
4000.00000,1.29641,1.39270,0.10397,0.23127,7.93968,0.43569,-1.06514,6.54699,0.33172,1.13452,42.86304,0.11004
4000.00000,1.66099,1.65938,0.30852,0.24952,11.43577,0.73828,-1.41146,9.77639,0.42976,1.99223,95.57771,0.18469
4000.00000,0.52633,0.93996,0.40926,0.14463,3.25301,0.47286,-0.38170,2.31305,0.06360,0.14569,5.35020,0.00405
4000.00000,1.77059,0.53539,0.45942,0.83772,1.11118,1.02185,-0.93287,0.57579,0.56243,0.87024,0.33153,0.31633
4000.00000,0.86991,1.22612,0.39898,0.18355,5.57167,0.56548,-0.68635,4.34555,0.16650,0.47108,18.88384,0.02772
4000.00000,1.04852,0.83807,0.17833,0.30838,2.95092,0.41580,-0.74014,2.11285,0.23747,0.54781,4.46414,0.05639
4000.00000,1.71669,1.45393,0.25527,0.29139,8.95691,0.74544,-1.42530,7.50297,0.49018,2.03147,56.29460,0.24027
4000.00000,1.20498,1.83521,0.38309,0.16371,13.54145,0.63826,-1.04128,11.70624,0.25517,1.08426,137.03595,0.06511
4000.00000,1.29449,0.86284,0.30024,0.39036,2.69614,0.64956,-0.90413,1.83330,0.34932,0.81745,3.36100,0.12202
4000.00000,1.31987,1.14922,0.11756,0.28594,5.37457,0.47002,-1.03393,4.22535,0.35246,1.06900,17.85358,0.12423
4000.00000,1.94094,0.79539,0.48057,0.62340,2.32596,1.18400,-1.31754,1.53057,0.70343,1.73591,2.34264,0.49481
4000.00000,0.60962,1.43351,0.49247,0.10312,8.84822,0.57743,-0.50650,7.41471,0.08496,0.25654,54.97787,0.00722
4000.00000,1.63597,0.74251,0.29076,0.57846,2.00214,0.82322,-1.05750,1.25963,0.53246,1.11831,1.58667,0.28352
4000.00000,1.34763,1.65744,0.29956,0.20277,11.01659,0.62242,-1.14486,9.35915,0.32286,1.31069,87.59376,0.10424
4000.00000,1.45155,0.83311,0.22867,0.42712,2.88554,0.65869,-1.02443,2.05243,0.43002,1.04945,4.21246,0.18492
4000.00000,0.67775,0.93333,0.25913,0.16657,4.08930,0.36169,-0.51118,3.15597,0.10256,0.26131,9.96016,0.01052
4000.00000,1.87764,1.92639,0.33085,0.23951,15.21083,0.78726,-1.63813,13.28444,0.45641,2.68346,176.47626,0.20831
4000.00000,1.48495,0.86060,0.17664,0.44610,2.73717,0.60968,-1.03885,1.87657,0.43305,1.07920,3.52153,0.18753
4000.00000,0.55403,0.76283,0.44671,0.17034,2.71252,0.51370,-0.38369,1.94969,0.06699,0.14722,3.80129,0.00449
4000.00000,1.27505,1.63816,0.21300,0.19221,11.07941,0.51473,-1.08283,9.44124,0.30174,1.17253,89.13709,0.09104
4000.00000,1.24631,0.80702,0.33645,0.38628,2.61771,0.65895,-0.86003,1.81069,0.32250,0.73965,3.27858,0.10401
4000.00000,0.60351,1.91118,0.30277,0.07875,14.89984,0.38302,-0.52476,12.98866,0.08025,0.27538,168.70532,0.00644
4000.00000,1.65668,1.48198,0.16064,0.27621,8.66169,0.61475,-1.38047,7.17971,0.45411,1.90571,51.54827,0.20621
4000.00000,0.69180,1.64832,0.10000,0.10400,10.92600,0.20473,-0.58780,9.27768,0.10473,0.34551,86.07543,0.01097
4000.00000,0.84562,0.50221,0.39174,0.43600,0.95149,0.52045,-0.40963,0.44928,0.12871,0.16779,0.20185,0.01657
4000.00000,0.98794,1.56893,0.42671,0.15372,10.15481,0.63008,-0.83422,8.58588,0.20336,0.69592,73.71736,0.04136
4000.00000,0.61768,1.31675,0.38373,0.11274,7.55766,0.47184,-0.50494,6.24092,0.08811,0.25497,38.94906,0.00776
4000.00000,0.89799,1.40233,0.21862,0.16006,7.75369,0.39160,-0.73793,6.35136,0.17298,0.54454,40.33972,0.02992
4000.00000,1.05392,1.89939,0.43100,0.13590,15.44138,0.64106,-0.91803,13.54199,0.21005,0.84277,183.38554,0.04412
4000.00000,1.59347,1.79254,0.20963,0.21941,12.91782,0.59233,-1.37406,11.12528,0.38270,1.88805,123.77189,0.14646
4000.00000,1.78481,1.55175,0.39082,0.28714,9.67620,0.87096,-1.49767,8.12445,0.48014,2.24300,66.00666,0.23053
4000.00000,1.67931,1.60167,0.25374,0.26176,10.68420,0.70015,-1.41754,9.08254,0.44641,2.00943,82.49248,0.19928
4000.00000,1.55731,1.72569,0.31857,0.22966,10.79985,0.71161,-1.32765,9.07416,0.39304,1.76264,82.34032,0.15448
4000.00000,0.76888,1.70001,0.32108,0.11383,11.19603,0.44622,-0.65506,9.49602,0.12513,0.42910,90.17448,0.01566
4000.00000,1.50905,1.69502,0.20019,0.22182,11.34224,0.57331,-1.28724,9.64722,0.37313,1.65698,93.06882,0.13922
4000.00000,0.96016,1.02944,0.34852,0.22894,4.40567,0.54795,-0.73123,3.37623,0.19943,0.53470,11.39893,0.03977
4000.00000,0.92864,1.14915,0.37418,0.20636,5.02457,0.56297,-0.72227,3.87542,0.18879,0.52168,15.01885,0.03564
4000.00000,1.50722,1.44842,0.17960,0.25799,8.51675,0.58092,-1.24923,7.06833,0.40132,1.56058,49.96129,0.16106
4000.00000,1.14803,1.97055,0.12700,0.14598,15.09003,0.36376,-1.00205,13.11947,0.23676,1.00411,172.12061,0.05605
4000.00000,1.13409,1.01979,0.25904,0.27984,4.08972,0.52488,-0.85425,3.06993,0.26584,0.72975,9.42449,0.07067
4000.00000,1.48513,1.95281,0.34145,0.19052,15.21101,0.67612,-1.29461,13.25821,0.33467,1.67602,175.78001,0.11200
4000.00000,1.39857,1.43547,0.35940,0.24817,7.95255,0.72475,-1.15039,6.51708,0.36535,1.32340,42.47231,0.13348
4000.00000,0.96936,0.90664,0.33907,0.26758,3.29197,0.54251,-0.70178,2.38533,0.20345,0.49250,5.68979,0.04139
4000.00000,1.55171,1.52017,0.26326,0.24865,9.74101,0.67316,-1.30306,8.22084,0.40990,1.69796,67.58229,0.16801
4000.00000,1.09855,1.75970,0.17542,0.15567,12.44127,0.40151,-0.94288,10.68157,0.22609,0.88902,114.09589,0.05112
4000.00000,1.87182,1.15103,0.20348,0.40525,5.34743,0.81763,-1.46658,4.19640,0.61415,2.15085,17.60974,0.37718
4000.00000,1.45653,0.86303,0.38562,0.42317,2.98405,0.81816,-1.03337,2.12102,0.43254,1.06784,4.49871,0.18709
4000.00000,0.87256,0.82161,0.20832,0.27105,2.57523,0.37724,-0.60151,1.75362,0.16892,0.36182,3.07517,0.02853
4000.00000,1.50931,0.62172,0.48060,0.63474,1.41446,0.92680,-0.87457,0.79273,0.44621,0.76487,0.62842,0.19910
4000.00000,1.28217,0.60269,0.24845,0.55107,1.34287,0.57156,-0.73110,0.74018,0.32311,0.53451,0.54787,0.10440
4000.00000,1.68108,1.18152,0.35210,0.34498,5.85869,0.85869,-1.33610,4.67717,0.50659,1.78516,21.87590,0.25664
4000.00000,1.90442,0.59601,0.42990,0.79737,1.42676,1.09942,-1.10705,0.83075,0.66952,1.22556,0.69015,0.44826
4000.00000,1.89067,0.65809,0.40578,0.71133,1.75890,1.08036,-1.17934,1.10081,0.67458,1.39084,1.21178,0.45506
4000.00000,0.60574,0.77847,0.36569,0.21673,1.91891,0.44301,-0.38900,1.14044,0.07732,0.15132,1.30060,0.00598
4000.00000,1.27251,1.30333,0.24275,0.24434,6.90966,0.55984,-1.02817,5.60633,0.31709,1.05713,31.43088,0.10055
4000.00000,1.92922,0.99011,0.24177,0.47292,4.08584,0.93089,-1.45631,3.09573,0.68912,2.12083,9.58354,0.47488
4000.00000,0.79079,1.78823,0.37078,0.11429,11.88570,0.50089,-0.67651,10.09748,0.13012,0.45766,101.95900,0.01693
4000.00000,0.84440,0.67633,0.16611,0.29469,2.10436,0.31888,-0.54971,1.42804,0.15277,0.30218,2.03929,0.02334
4000.00000,0.62533,0.52869,0.16630,0.32282,0.93321,0.23635,-0.30251,0.40451,0.07005,0.09151,0.16363,0.00491
4000.00000,1.27884,1.41163,0.19814,0.22276,8.24282,0.51044,-1.05607,6.83119,0.31230,1.11529,46.66520,0.09753
4000.00000,1.42445,1.33532,0.26631,0.27019,7.01920,0.65215,-1.15426,5.68389,0.38584,1.33231,32.30656,0.14887
4000.00000,1.25017,1.11794,0.44821,0.28036,4.88914,0.76972,-0.96981,3.77120,0.32151,0.94052,14.22196,0.10337
4000.00000,1.00581,0.71426,0.37683,0.34924,2.07975,0.58977,-0.65657,1.36549,0.21294,0.43108,1.86455,0.04534
4000.00000,1.12891,0.52719,0.41710,0.51990,1.19491,0.66921,-0.60901,0.66773,0.25210,0.37089,0.44586,0.06356
4000.00000,0.87991,0.51497,0.38938,0.42171,1.09314,0.53689,-0.45820,0.57818,0.14751,0.20994,0.33429,0.02176
4000.00000,1.00044,1.68734,0.28052,0.14732,11.82748,0.47986,-0.85312,10.14015,0.19935,0.72781,102.82255,0.03974
4000.00000,1.08174,1.70531,0.46071,0.16117,11.31492,0.68537,-0.92057,9.60962,0.22466,0.84745,92.34475,0.05047
4000.00000,1.95210,0.59985,0.35933,0.81430,1.46486,1.06450,-1.13779,0.86502,0.70517,1.29458,0.74825,0.49727
4000.00000,1.33859,0.98174,0.18804,0.34009,3.83855,0.55468,-0.99850,2.85681,0.36664,0.99701,8.16134,0.13442
4000.00000,1.58411,1.48509,0.38351,0.27215,8.73141,0.81016,-1.31196,7.24632,0.42665,1.72123,52.50909,0.18203
4000.00000,1.70674,1.65921,0.31937,0.25736,11.35999,0.77364,-1.44939,9.70077,0.45427,2.10072,94.10497,0.20636
4000.00000,1.70450,1.27701,0.15613,0.33761,6.34722,0.66194,-1.36690,5.07021,0.50581,1.86841,25.70700,0.25584
4000.00000,1.83561,1.62497,0.46329,0.27883,10.57881,0.96125,-1.55678,8.95384,0.49795,2.42358,80.17122,0.24796
4000.00000,0.90641,0.80338,0.22553,0.28419,2.53576,0.40509,-0.62222,1.73238,0.17956,0.38716,3.00113,0.03224
4000.00000,0.78188,0.61546,0.37846,0.30751,1.63000,0.50739,-0.47437,1.01454,0.12893,0.22503,1.02929,0.01662
4000.00000,1.53854,0.89609,0.47563,0.43609,3.05894,0.94180,-1.10244,2.16285,0.46618,1.21538,4.67792,0.21732
4000.00000,0.82807,1.39295,0.20585,0.15063,7.60674,0.35677,-0.67744,6.21379,0.15092,0.45892,38.61115,0.02278
4000.00000,0.63258,1.54842,0.24734,0.10643,8.81614,0.33705,-0.52615,7.26772,0.08971,0.27684,52.81970,0.00805
4000.00000,0.55847,1.50027,0.22921,0.09061,9.61466,0.30055,-0.46786,8.11439,0.07134,0.21889,65.84337,0.00509
4000.00000,0.60088,0.64238,0.49956,0.22317,1.82155,0.57686,-0.37772,1.17917,0.07730,0.14267,1.39044,0.00598
4000.00000,0.86224,0.56053,0.26448,0.39022,1.21111,0.41228,-0.47202,0.65059,0.14780,0.22281,0.42326,0.02185
4000.00000,0.96917,1.48151,0.19281,0.16011,9.36513,0.39210,-0.80905,7.88362,0.19929,0.65457,62.15148,0.03972
4000.00000,1.75568,1.42929,0.32536,0.31324,7.99747,0.84056,-1.44244,6.56818,0.51520,2.08064,43.14100,0.26543
4000.00000,1.63510,1.16344,0.38296,0.35463,5.28023,0.88301,-1.28047,4.11679,0.50005,1.63960,16.94794,0.25005
4000.00000,1.01286,1.29152,0.18465,0.20033,6.49408,0.40302,-0.81253,5.20257,0.21837,0.66020,27.06668,0.04768
4000.00000,1.18215,1.51218,0.37101,0.19056,9.58058,0.64263,-0.99158,8.06840,0.27162,0.98324,65.09907,0.07378
4000.00000,1.54570,1.47296,0.21012,0.26174,8.87469,0.61889,-1.28397,7.40173,0.40877,1.64858,54.78556,0.16709
4000.00000,1.18276,1.50164,0.43495,0.20102,8.73719,0.70841,-0.98174,7.23555,0.27346,0.96381,52.35321,0.07478
4000.00000,1.75723,1.70422,0.48437,0.25720,11.46848,0.93483,-1.50003,9.76426,0.45046,2.25010,95.34085,0.20292
4000.00000,0.91552,1.88196,0.33328,0.12309,13.65440,0.49804,-0.79243,11.77243,0.16476,0.62794,138.59020,0.02715
4000.00000,1.82146,1.82437,0.36362,0.25030,13.58929,0.81861,-1.57116,11.76492,0.45499,2.46854,138.41334,0.20702
4000.00000,0.92978,1.70396,0.49890,0.13282,12.49857,0.67589,-0.79696,10.79461,0.17699,0.63514,116.52360,0.03133
4000.00000,1.77108,0.59359,0.23411,0.71255,1.57001,0.84121,-1.05853,0.97642,0.60710,1.12049,0.95339,0.36857
4000.00000,0.62766,1.07840,0.12841,0.14603,4.60324,0.21606,-0.48162,3.52485,0.08765,0.23196,12.42455,0.00768
4000.00000,0.75124,0.72091,0.48923,0.27420,1.89412,0.60750,-0.47704,1.17321,0.11827,0.22756,1.37642,0.01399
4000.00000,0.84876,0.69452,0.20259,0.30040,2.00596,0.35489,-0.54836,1.31144,0.15230,0.30069,1.71987,0.02320
4000.00000,1.79699,0.73239,0.13309,0.62544,2.05644,0.76683,-1.17155,1.32405,0.63373,1.37253,1.75311,0.40162
4000.00000,1.37105,1.25826,0.15763,0.27698,6.04074,0.51804,-1.09407,4.78247,0.36041,1.19698,22.87206,0.12989
4000.00000,0.95970,1.73357,0.12279,0.14147,11.68180,0.30857,-0.81822,9.94823,0.18578,0.66949,98.96733,0.03452
4000.00000,1.66557,1.79330,0.22555,0.23087,12.93926,0.63162,-1.43470,11.14595,0.40607,2.05836,124.23229,0.16489
4000.00000,1.61246,1.23885,0.29327,0.33045,5.99379,0.76606,-1.28201,4.75494,0.47279,1.64356,22.60941,0.22353
4000.00000,1.18098,1.64367,0.15040,0.17449,11.50058,0.41454,-1.00650,9.85691,0.26413,1.01304,97.15866,0.06977
4000.00000,1.23444,1.46712,0.19193,0.21353,8.30947,0.48197,-1.02090,6.84235,0.29004,1.04224,46.81782,0.08413
4000.00000,0.77791,0.91796,0.18748,0.20109,3.75414,0.32370,-0.57682,2.83618,0.13622,0.33272,8.04389,0.01856
4000.00000,1.35689,0.71450,0.24982,0.45995,2.16522,0.62887,-0.89694,1.45072,0.37905,0.80451,2.10458,0.14368
4000.00000,1.69389,0.76268,0.36911,0.56078,2.29092,0.92870,-1.13311,1.52824,0.55960,1.28394,2.33551,0.31315
4000.00000,0.50098,1.80600,0.41704,0.06896,13.00227,0.47461,-0.43202,11.19627,0.05757,0.18664,125.35644,0.00331
4000.00000,0.64066,1.22920,0.46830,0.12677,6.34833,0.56128,-0.51389,5.11913,0.09299,0.26408,26.20554,0.00865
4000.00000,1.20210,1.19945,0.40423,0.24410,6.00048,0.70845,-0.95801,4.80103,0.30422,0.91778,23.04993,0.09255
