a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,1.92591,1.36016,0.35273,0.35050,7.34732,0.95270,-1.57541,5.98716,0.59997,2.48193,35.84610,0.35996
4000.00000,1.68737,1.68443,0.13648,0.25659,10.72337,0.56095,-1.43078,9.03894,0.42446,2.04712,81.70246,0.18017
4000.00000,1.02637,0.67560,0.15720,0.38227,1.80541,0.37393,-0.64411,1.12981,0.21674,0.41487,1.27646,0.04698
4000.00000,1.55936,0.62202,0.13394,0.67527,1.30623,0.59941,-0.88409,0.68421,0.46548,0.78161,0.46814,0.21667
4000.00000,1.97900,1.63007,0.25050,0.30883,10.78789,0.78507,-1.67017,9.15782,0.53457,2.78946,83.86574,0.28576
4000.00000,0.66680,1.23894,0.10454,0.14193,5.53074,0.20669,-0.52487,4.29180,0.10215,0.27549,18.41956,0.01043
4000.00000,1.94326,1.06231,0.21428,0.46644,4.33315,0.88230,-1.47682,3.27085,0.66801,2.18100,10.69843,0.44624
4000.00000,0.61069,1.33078,0.48772,0.11782,6.85087,0.57236,-0.49288,5.52009,0.08464,0.24293,30.47140,0.00716
4000.00000,1.37647,1.85174,0.11818,0.18682,13.99117,0.42978,-1.18965,12.13944,0.31160,1.41526,147.36590,0.09709
4000.00000,0.91607,0.78218,0.28548,0.29120,2.48647,0.46149,-0.62487,1.70429,0.17601,0.39047,2.90462,0.03098
4000.00000,1.52710,0.74393,0.46437,0.48723,2.49154,0.94351,-1.03986,1.74761,0.47914,1.08131,3.05415,0.22957
4000.00000,0.56783,0.53955,0.25059,0.24217,1.37524,0.31639,-0.32566,0.83569,0.06581,0.10605,0.69837,0.00433
4000.00000,1.75749,1.20304,0.26593,0.36860,5.65142,0.81542,-1.38890,4.44838,0.54949,1.92903,19.78809,0.30194
4000.00000,1.99496,1.33315,0.40759,0.36423,7.69116,1.03460,-1.63072,6.35801,0.62701,2.65926,40.42432,0.39314
4000.00000,1.93108,1.40926,0.19146,0.35160,7.59465,0.77355,-1.57948,6.18538,0.58210,2.49475,38.25898,0.33884
4000.00000,1.28025,1.77827,0.32076,0.17925,12.73901,0.60442,-1.10099,10.96074,0.28366,1.21219,120.13786,0.08046
4000.00000,1.63271,1.43046,0.38163,0.29055,7.98396,0.82702,-1.34216,6.55350,0.44538,1.80138,42.94830,0.19837
4000.00000,1.85624,1.02238,0.30560,0.45219,4.26311,0.94519,-1.40405,3.24073,0.63959,1.97135,10.50230,0.40908
4000.00000,0.72061,1.88988,0.29685,0.09532,14.38041,0.40775,-0.62529,12.49053,0.11091,0.39099,156.01333,0.01230
4000.00000,1.45010,0.86022,0.13035,0.42456,2.92996,0.55054,-1.02554,2.06974,0.42020,1.05174,4.28383,0.17657
4000.00000,1.84518,1.21094,0.36702,0.37873,5.89080,0.94964,-1.46646,4.67986,0.58262,2.15049,21.90105,0.33945
4000.00000,0.68095,1.19117,0.18253,0.14286,5.68260,0.28751,-0.53809,4.49143,0.10498,0.28954,20.17298,0.01102
4000.00000,1.44185,0.62264,0.44943,0.60636,1.39147,0.85532,-0.83549,0.76883,0.40589,0.69805,0.59109,0.16474
4000.00000,0.77678,0.81402,0.24819,0.23387,2.68931,0.37979,-0.54291,1.87528,0.13160,0.29476,3.51669,0.01732
4000.00000,0.55502,0.87866,0.38534,0.16900,2.69041,0.45290,-0.38603,1.81176,0.06756,0.14902,3.28246,0.00456
4000.00000,1.29893,0.86371,0.20770,0.38301,2.83364,0.55161,-0.91591,1.96993,0.34391,0.83890,3.88064,0.11828
4000.00000,0.67964,1.83579,0.33744,0.09314,13.27822,0.43689,-0.58650,11.44242,0.09946,0.34398,130.92907,0.00989
4000.00000,1.38026,1.61816,0.27266,0.20973,10.70596,0.61443,-1.17053,9.08780,0.34176,1.37015,82.58804,0.11680
4000.00000,1.03415,1.97977,0.34231,0.13031,15.52931,0.53944,-0.90384,13.54954,0.19713,0.81692,183.58995,0.03886
4000.00000,0.77985,0.92764,0.16935,0.22164,3.10374,0.29860,-0.55821,2.17610,0.12925,0.31160,4.73540,0.01671
4000.00000,0.66806,1.09678,0.48779,0.15429,4.64860,0.58793,-0.51377,3.55182,0.10014,0.26396,12.61543,0.01003
4000.00000,1.89406,1.33514,0.32865,0.34932,7.36119,0.90881,-1.54474,6.02605,0.58017,2.38623,36.31327,0.33659
4000.00000,1.26142,0.86361,0.14593,0.37751,2.77756,0.47064,-0.88390,1.91395,0.32470,0.78128,3.66319,0.10543
4000.00000,1.29888,0.57774,0.23464,0.57232,1.29700,0.55625,-0.72656,0.71927,0.32161,0.52789,0.51735,0.10343
4000.00000,1.64034,1.39346,0.28863,0.29567,7.64320,0.75384,-1.34467,6.24974,0.46521,1.80814,39.05928,0.21642
4000.00000,0.59974,1.61168,0.32979,0.09381,10.27992,0.41063,-0.50593,8.66824,0.08084,0.25597,75.13845,0.00654
4000.00000,0.74640,1.72186,0.36608,0.11129,11.29466,0.48574,-0.63511,9.57280,0.11966,0.40337,91.63854,0.01432
4000.00000,1.15870,1.06542,0.28507,0.26767,4.71209,0.56191,-0.89103,3.64667,0.27684,0.79393,13.29822,0.07664
4000.00000,1.07584,1.31533,0.46259,0.21189,6.39631,0.70244,-0.86394,5.08099,0.23985,0.74640,25.81641,0.05753
4000.00000,0.70891,1.69104,0.34803,0.10437,11.61737,0.45738,-0.60453,9.92633,0.10936,0.36546,98.53206,0.01196
4000.00000,0.87273,1.61592,0.11341,0.13639,10.32564,0.27277,-0.73634,8.70972,0.15936,0.54220,75.85918,0.02540
4000.00000,0.66595,1.76968,0.15100,0.09231,12.98244,0.24815,-0.57363,11.21276,0.09716,0.32906,125.72601,0.00944
